iter	Logloss
0	0.6931495497
1	0.6931437174
2	0.6931380887
3	0.6931378852
4	0.6931357829
5	0.6931337484
6	0.6931332737
7	0.6931281196
8	0.6931262207
9	0.6931237793
10	0.6931178114
11	0.6931189643
12	0.6931189643
13	0.6931131999
14	0.6931104872
15	0.6931093343
16	0.693107232
17	0.6931053331
18	0.6931045193
19	0.6931004503
20	0.6930986871
21	0.6930952284
22	0.6930929905
23	0.6930913628
24	0.6930891927
25	0.6930871582
26	0.6930849881
27	0.6930834961
28	0.6930797662
29	0.6930784098
30	0.6930759006
31	0.693073527
32	0.6930721029
33	0.6930685764
34	0.693066881
35	0.6930651855
36	0.6930632867
37	0.6930627441
38	0.6930611165
39	0.6930586073
40	0.6930568441
41	0.6930546061
42	0.6930535211
43	0.6930512153
44	0.6930492486
45	0.6930466037
46	0.6930450439
47	0.6930426025
48	0.6930410428
49	0.693038737
50	0.6930360243
51	0.6930339898
52	0.6930329047
53	0.6930306668
54	0.6930295139
55	0.6930280219
56	0.6930238851
57	0.6930221897
58	0.6930204264
59	0.6930185954
60	0.6930164252
61	0.6930147298
62	0.6930127631
63	0.6930112033
64	0.6930103895
65	0.6930076769
66	0.6930067952
67	0.6930033366
68	0.6930023872
69	0.6929990641
70	0.6929977078
71	0.6929949951
72	0.692993571
73	0.6929912652
74	0.6929896376
75	0.6929882813
76	0.6929861111
77	0.6929831272
78	0.6929810927
79	0.6929779053
80	0.6929763455
81	0.6929738363
82	0.6929720052
83	0.6929707845
84	0.6929699707
85	0.6929682075
86	0.692967258
87	0.6929656304
88	0.692963189
89	0.6929607476
90	0.6929581706
91	0.6929568142
92	0.6929546441
93	0.6929511854
94	0.6929489475
95	0.692946913
96	0.6929460992
97	0.692943929
98	0.6929419623
99	0.6929408095
