iter	Passed	Remaining
0	4	931
1	8	857
2	12	835
3	17	840
4	21	827
5	25	823
6	29	822
7	34	827
8	38	826
9	43	833
10	48	837
11	52	827
12	56	819
13	58	772
14	62	767
15	66	761
16	70	757
17	74	752
18	78	749
19	82	744
20	86	738
21	90	733
22	94	728
23	98	723
24	102	718
25	106	713
26	110	709
27	114	703
28	118	700
29	122	695
30	126	691
31	131	688
32	135	683
33	139	679
34	143	675
35	147	671
36	151	667
37	155	663
38	159	658
39	163	654
40	167	649
41	171	645
42	175	640
43	179	636
44	184	634
45	188	631
46	192	627
47	197	625
48	202	623
49	206	620
50	211	616
51	215	612
52	219	608
53	223	604
54	227	600
55	231	596
56	235	591
57	239	587
58	243	582
59	248	579
60	252	574
61	256	570
62	260	566
63	264	562
64	268	557
65	272	553
66	276	548
67	280	544
68	284	540
69	288	536
70	293	532
71	297	528
72	301	523
73	305	519
74	309	515
75	313	510
76	317	506
77	321	502
78	325	498
79	329	494
80	333	490
81	338	486
82	342	482
83	346	479
84	351	476
85	356	472
86	360	467
87	364	463
88	368	459
89	372	455
90	376	451
91	381	447
92	385	443
93	389	439
94	393	435
95	398	431
96	402	427
97	406	423
98	410	418
99	414	414
100	418	410
101	422	405
102	426	401
103	430	397
104	435	393
105	439	389
106	443	385
107	447	381
108	451	377
109	455	372
110	459	368
111	463	364
112	467	360
113	471	355
114	475	351
115	479	347
116	483	343
117	487	338
118	492	334
119	496	330
120	501	327
121	506	323
122	510	319
123	514	315
124	518	311
125	522	306
126	526	302
127	530	298
128	535	294
129	539	290
130	543	286
131	547	281
132	551	277
133	555	273
134	559	269
135	563	265
136	567	261
137	571	256
138	575	252
139	579	248
140	583	244
141	588	240
142	591	235
143	596	231
144	599	227
145	603	223
146	608	219
147	612	215
148	616	210
149	620	206
150	624	202
151	628	198
152	632	194
153	636	190
154	641	186
155	645	182
156	650	178
157	654	174
158	659	169
159	663	165
160	667	161
161	671	157
162	675	153
163	679	149
164	683	144
165	687	140
166	691	136
167	695	132
168	699	128
169	703	124
170	707	119
171	710	115
172	715	111
173	719	107
174	723	103
175	727	99
176	731	95
177	735	90
178	739	86
179	743	82
180	747	78
181	751	74
182	755	70
183	759	66
184	763	61
185	767	57
186	771	53
187	776	49
188	780	45
189	784	41
190	788	37
191	792	33
192	797	28
193	801	24
194	806	20
195	811	16
196	815	12
197	819	8
198	823	4
199	827	0
